characteristic,content
C10,about our product
C2,is why we developed le mini macaron
C2,we love the effect and lasting of gel polish
C1,and we think that girls everywhere should be able to enjoy gel at home without having to pay a ridiculously high price or needing to go into a salon to it done
C2,we created a kit that combines all the things you a gel manicure that is fabulously shiny easy to do and affordable
C2,why we love it reasons
C2,innovative gorgeous design our whole concept is based the macaron the popular playful and irresistible little french icon we designed our led lamp in the shape of a mini macaron colorful and compact with a soft matte touch finish
C10,our packaging is gorgeous and eyecatching inspired by rich macaron shades and flavors
C10,made busy girls we work we play we travel
C1,who has time to worry about their nails with le mini macaron you can look always polished created the girl onthego our led lamp is compact enough to toss in your bag and take with you to the office the plane or when you are the road
C10,a usb adapter plugs straight into your laptop you can literally do your mani anywhere
C10,minute gel manis let us talk convenience
C10,our in gel formula combines basecoat color and topcoat all into one bottle
C10,forget about multiple steps and headaches plus our second led lamp cures in a flash
C10,your mani done in under minutes flat
C10,affordable beauty no pricey salon manicures or expensive athome kits we wanted to make gel manicures affordable and accessible every girl
C10,it does not to be a splurge or reserved only special occasions
C10,with lmm you got the most affordable allinone gel manicure system the market
C10,diy whenever you want
C10,what is inside
C10,each kit comes with everything you to apply and remove gel polish at home
C10,a onefinger mini led lamp shaped like a macaron
C10,one bottle of gel polish in a gorgeous shiny color
C10,usb adapter and power cord
C10,cuticle stick
C10,mini nail file
C10,gel remover pads
C10,stepbystep instructions in english french spanish and chinese
C10,our lamp
C2,we love our mini macaron led lamp not only is it super cute but it is very easy to use
C10,here are some of the highlights
C10,cures in only seconds small but powerful
C10,compare to other lamps that take seconds
C10,sleek gorgeous design
C10,clean lines with a matte soft touch surface
C10,small and portable
C1,take it with you everywhere it is compact you can toss it in your bag and bring it with you to school office or home
C10,usb charger and power adapter included
C10,plug into your laptop or a wall socket
C10,the girl who loves to multitask
C10,do not forget your toes flip the top around and cure your gel pedicure
C10,magnet inside
C1,you never seen a gel manicure lamp like ours
C2,we wanted to give girls led lamp that looks beautiful it works
C3,plus it is our own patented design
C10,our gel polish
C10,you might be used to a gel application process that involves multiple steps and takes awhile to do
C10,ours is fast and easy
C10,step gel
C10,say byebye to base coat top coat and cleanser
C10,we allinone formula to make your life easier
C10,the brilliant shine of gel
C10,you the shine you love without the hassle
C10,apply coats a gorgeous rich color
C10,chipfree formula that lasts days
C10,easyon easyoff
C10,the beauty of step gel is that it is easy to remove
C10,use our remover pads minutes and the gel will lift off easily
C10,how to apply
C10,stepbystep instructions are included in our kit explaining how to apply and remove your gel polish manicure
C10,it is easy
C7,check out our diy video tutorial here httpswwwyoutubecomwatchvzgpeoaciui
C10,important tip be sure to file the surface of your nail to start and apply a very thin layer that is barely there before curing the coat must be extremely thin
C10,the nd coat can be a bit thicker the gel will even out under the light
C10,follow our instructions carefully to achieve a great lasting
C10,the perfect gift
C6,lmm makes the perfect gift is why we timed our kickstarter to ship in time the holiday season all orders will be shipped and arrive before or by dec th
C8,we option of buy kits free
C1,the perfect stocking stuffer or birthday present your best friend sister daughter mom niece coworker or any girl in your life who loves a fabulous manicure
C8,our rewards
C6,our goal is to raise will allow us to launch our brand new kit colors of cherry red cassis and peach the perfect colors fall and new gel polish colors nude latte and pink champagne glitter we a variety of reward options our backers from single kit options to gel polish sets specially designed our firstround kickstarter backers who already own a kit to starter sets and bundles
C7,check out the chart below to find the perfect one you
C10,color reference
C10,new upgrade options
C7,a thank you to all of our backers who helped us to funded we special upgrade options to offer you you can addon either our gel polish set or the remover kit offer
C8,or you can both only additional pledge any reward plus the shipping fee and simply add the gels the remover kit or both
C8,we will send out a survey postcampaign to final check your order
C2,spring gel polish colors introducing sweet mint a gorgeous pastel green milkshake a creamy classic white and baby blue a lovely robins egg blue all three of these brand new colors full size bottles only each
C8,that is a savings off the individual retail price of each
C8,save a total of off the retail price of the set you will be the to own these brand new colors
C10,remover kit how do you remove gel polish that is the question we usually with our kits each kit comes with soakoff remover pads one per finger a time use
C10,after that you can our remover kit comes with pads uses
C8,our retail price is but a special offer kickstarter backers you can add box onto any pledge a savings
C8,stock up or add it onto any gift set the woman in your life has easy removal literally at her finger tips
C2,merci bisous
C2,many thanks from our team at le mini macaron
C2,merci bisous
C2,many thanks from our team at le mini macaron
C2,hi guys i m christina i am francoise and we are the creators of le mini macaron
C10,the gel manicure kits girls the go
C2,how come you btw we are big fans of gel gel manicures are super glossy and shiny dry instantly under led lamp and unlike regular nail polish manicure gel does not chip
C2,we created the mini macaron because we wanted to make gel manicures simple easy to do affordable and fun
C10,we engineered led lamp that is compact high powered and sleek
C10,innovative little lamp comes with usb you can even do your manicure at your desk and you can even pop the top off flipping around and do your toes
C2,our design is inspired by the french macaron
C10,is the cutest and most innovative little led lamp out there
C10,we wanted to make our kit really eye catching we design a packaging to be super colorful inspired bye different macaron flavors and bonus our gel polish bottles painted
C1,how fun is
C5,the reactions of my girlfriends and customers has great
C5,they simply fall in love with the mini macaron soon they see it our kit goes verywhere do your mani by yourself with your girlfriends when you are the road or at the office
C10,our element kit is easy to use
C10,file your nails then paint one thin coat next cure seconds repeat and then you are done
C7,and that is it why do we your help
C2,the beauty business is huge billion dollar industry run by big corporates
C2,it is not easy a beauty startup to build and establish a new brand
C7,we you to support to share and back le mini macaron we can spread the word
C1,girls want gel girls gel and with le mini macaron we a product that makes gel manicures affordable and accessible every girl
C3,we developing the mini macaron the past year and a half from engineering the lamp is our own patent to creating all the brand id and packaging design
C4,formulating each individual gel polish color basin shine colors and testing testing and testing
C2,we are ready to launch brand new kit colors and single gel polishes like cherry red cassie s peach and
C7,we your help to job onto your fingertips and a french say
C10,design
C10,design
C5,partnership
C10,design
C10,design
C7,share
C7,share
C10,design
C10,design
C4,usecase
C10,design
C10,features
C10,design
C10,features
C10,usage
C10,usage
C2,story
C8,rewards
C8,rewards
C8,rewards
C8,rewards
C10,features
C2,team
C5,partnership
C8,thanks to our backers amazing kickstarter campaign
C7,we are humbled by your support and we are excited to deliver awesome product
C8,miss our kickstarter campaign do not worry
C6,learn at waylenscom
C8,the waylens experience
C1,you are a driver not a cameraman
C10,drive and leave it to the waylens to capture manage and store all your best moments behind the wheel
C10,the waylens camera overlays realtime performance data top of high quality video empowering drivers to tell fuller compelling stories
C10,our free companion mobile enables users to quickly identify and share their most interesting moments hidden within hours of footage
C5,featured in
C10,how it works
C10,key features
C10,works with any vehicle with obdii port
C10,most vehicles sold in the us after are mandated to obdii connector
C10,even some models older work fine too
C10,verify your vehicle is supported
C10,prepaired obdii connector and steering wheel remote
C10,advanced suite of internal sensors hz gps axis motion sensor gyro accelerometer magnetometer barometer
C10,the waylens oled display doubles a user customizable gauge displaying any of the supported obdii codes in real time
C10,automatically overlay performance data top of video
C10,data driven video search and editing makes your life easy
C10,one touch video upload from the road supported android models only
C10,color options
C10,color options black red or silver
C8,we will contact you closer to our shipping date your color choice
C10,weatherproof case
C10,the waylens weatherproof casethe waylens weatherproof case
C10,when you want the waylens camera to leave the comforts of your climate controlled cabin like when it is mounted a motorcycle boat or the fender of your car we designed a weatherproof case that can handle anything you can throw at it
C10,it is shock resistant and water resistant and compatible with gopro mounts
C10,video quality
C10,heres a sample of our video quality when compared to a leading action cam
C10,a small video will download to your computer because we want you to see full hd footage not supported when hosted kickstarter
C4,waylens prototype vs gopro hero silver using default device settings straight from the box kickstarter compresses video way too much is a link to a short video hosted our website
C10,mobile
C10,the waylens mobile ios android provides powerful editing tools through a simple interface
C10,select screen from the current iteration of our mobile
C10,diy gauge
C10,the circular oled display the back of the waylens can be used to display data of your choosing right from the obd
C10,although will come with time two examples are below speed gauge and roll pitch and yaw
C10,you can choose to display the video it is being recorded or a status screen
C10,a few gauge optionsa few gauge options
C10,tech specs
C10,the waylens camera is specifically designed the challenges of automotive environment
C10,our camera provides great video quality even during low light and high speed driving
C10,installation
C10,the waylens camera system is simple to install and can be mounted to a windshield with the included suction cup mount
C10,simply stick the suction cup to the windshield and tighten the bolt
C10,attach the camera to the base adjust position and you are done
C10,the camera can be rotated degrees to capture the road or moments happening inside the car
C10,a gopro compatible mount adaptor will be available purchase coming soon
C10,installation processinstallation process
C10,the waylens can be operated battery power or plugged into a v cigarette lighter socket
C10,optional hard wiring kit is under development
C10,the waylens obdii connector and steering wheel remote come prepaired with the camera via bluetooth right out of box
C10,both are easy to install with no training in only a few seconds
C4,installing prototype obdii connector
C10,simply plug and play
C4,installing prototype obdii connector
C10,simply plug and play
C10,design
C2,our team has pored over every last detail of the waylens design
C4,every decision made and component included was the result of extensive research and prototype testing
C2,cad model of the waylens camera internalscad model of the waylens camera internals
C10,animated blowout of the waylensanimated blowout of the waylens
C10,the waylens has designed to provide powerful video capturing and editing capabilities while remaining simple and easy to use
C2,we invested enormous amount of time debating every decision from sensor vendors to mounting options
C2,discussing mounting optionsdiscussing mounting options
C2,one of our many design sessionsone of our many design sessions
C4,prototyping
C4,we do not talk about the best design we built and tested four generations of prototypes
C4,the images below show the evolution of our prototypes
C4,the generations of prototypesthe generations of prototypes
C2,many kickstarter projects difficulty delivering is why we worked sidebyside with our manufacturing partners throughout the entire process
C6,ensures there are fewer issues when we finally go into production
C4,internal components of second generation prototypeinternal components of second generation prototype
C4,in addition to building hardware we written and tested tens of thousands of lines of code
C2,manufacturing and supply chain
C2,we already secured most critical components and manufacturing partners to ensure there are no major surprises we ramp up production to full volume
C8,rewards
C6,production schedule
C5,the waylens community
C5,we are not launching a product we are building a community
C5,we want our kickstarter backers to be involved in the process of bringing the waylens camera to market and providing feedback the product
C5,we will be setting up a forum after the campaign to facilitate feedback from our backers
C2,drive responsibly
C1,waylens encourages all of our users to enjoy their vehicles responsibly
C1,if you a speed please drive at official track or event
C1,the links below can be useful locating a track in your area
C4,prototype demos
C10,we talked about a lot of innovative features but do not take our word it
C7,see yourself
C4,the videos below demonstrate the current state of our technical prototype
C4,demo of the paired prototype streaming live video to a smartphone
C10,live video stream with vehicle performance data
C2,team
C2,waylens is made up of a diverse group of individuals all of come together to create the perfect team building our product
C2,our team includes world class designers engineers and developers passionate car enthusiasts and camera experts
C2,there is no team in the world better suited to build automotive camera waylens
C2,the waylens team catherine xutao yi richard and te not picturedthe waylens team catherine xutao yi richard and te not pictured
C2,proud to announce the waylens camera data driven camera build from the ground up drivers
C10,our system includes a high performance cam bluetooth enabled obd connector and a stylish steering wheel remote
C10,all of comes prepared from out of the box it is simple plugging in play
C10,we gone beyond the ordinary boxines of regular camera and designed a device that fit into the interior of any high end vehicle by combining video and data our camera enables users to tell the full story of their behind the wheel experiences
C10,the bluetooth enabled ob connector taps directly into the cars computer allowing users to show what s going under the hood the road
C10,in addition to the performance data from the vehicle the waylens camera is loaded with it is advanced sensor sweep including gps sensor professional level track timing
C10,a access motion sensor recording all of the g that car pulls and dual microphones capturing the symphony of exhaust noise
C1,gone are the days of having to sit through hours of footage the camera software can identify the most interesting clips using data
C10,example it can identify the highest g force or it can identify clips with the fastest to by the time you pull over the waylands mobile present you with interesting clips that are ready to share through a simple interface
C10,with the included steering wheel remote you can even share your driving experience from behind the wheel without ever touching your phone
C2,we assembled incredible team of world class designers developers and engineers
C5,we are not launching a product we are building a community
C2,we want our users to appreciate all the hard work that is gone into designing and engineering camera
C5,that is why we are launching kickstarter to provide our early adopters with pre orders at a fraction of the retail price come help us build the waylands community
C5,partnership
C10,features
C10,features
C10,features
C10,features
C10,features
C10,features
C10,features
C10,features
C10,features
C10,design
C10,design
C2,story
C2,story
C4,prototype
C4,prototype
C2,story
C8,rewards
C6,timeline
C2,team
C10,livv headphones are the premium overear wireless active headphones that give you freedom you deserve you can livvfree
C2,founder and former nfl player mark clayton set out to revolutionize the way we use athletic headphones
C2,plagued by never being able to find a pair that would survive his rigorous nfl workouts he realized a a true durable athletic headphone athletes and active people alike
C5,we are excited to be featured backerclub
C5,co week they are the top community people who are very serious about crowdfunding sites and we are really looking forward to the feedback and support from their community of superbackers
C1,livv headphones are experience anyone living active lifestyle
C1,the extreme sports enthusiasts who live that moment of freedom catching big air sprints the gridiron hoops the hardwood and free runners
C1,livv headphones are anyone who is active and the go
C10,livv headphones surefit band is the of its kind breaking the mold of the traditional band that goes over the top of the head
C10,the sleek and sexy minimalistic band is made in a way that gives the headphones the ability to really fit snug to the head and at the same time not apply a painful amount of tension to the head
C10,designed with convenience in mind livv headphones come equipped with onboard controls that allow you to manage it all straight from the headphones
C10,you can pair your cellphone using bluetooth and with the builtin mic take calls without missing a beat
C10,enjoy up songs with the gb mp onboard storage
C10,go hard you want long you want livv headphones a hour rechargeable battery
C10,that is enough juice to power you through
C10,if that was not enough they come with removable memory foam pads
C10,ultra comfortable prolonged wear
C2,we a passion music we are sure most of you do
C2,that is why we teamed up with dale lott ceo of aurisonics to develop a headphone that delivers that premium sound you crave inspired by the music that moves you without compromising style and quality
C10,livv headphones combine mp player the right amount of tension and amazing sound quality to give you the freedom to truly livvfree
C10,move fast you want in any direction you feel
C10,stream music from your device free from wires
C10,you can even leave your device behind it does not weigh you down
C10,our surefit band is the of its kind
C10,lightweight band applies the perfect amount of tension providing unrivaled functionality allowing you to live active lifestyle in comfort
C10,livv has combined gb mp player up to songs and bluetooth functionality to finally free you from wires making the use of your cellphone during activity truly option
C10,we worked with our manufacturer to deliver a premium active headphone that is waterproof sweatproof and dustproof
C10,worry less about sweat or water and focus maximizing your workout
C10,ip waterproofing protected against dust complete protection against contact
C10,waterproof in up to meter limited periods of time
C10,stand out from the pack with coordinating color styles
C10,initially livv headphones will only come in black and white but we want to be able to make a variety of colors
C10,different color livv headphones with interchangeable ear pads allow you to express your true self
C10,feature requires additional development effort and hitting stretch goal will allow us to give you some vibrant color options
C2,back in after always running into issues during intense training sessions mark realized he was not the only one who experienced these frustrations
C4,after feeling inspired mark started sketching his idea livv headphones
C4,marks original sketchmarks original sketch
C2,out of a we identified a solution
C2,trying to find a way to eliminate common problem livv headphones was born
C2,livv headphones are engineered by aurisonics inc
C2,a nashville tn music city based professional audio product company
C2,aurisonics was founded in by veteran master audio engineer and audio products designer dale lott with the goal of making products that truly allow customers to hear it and live it
C8,when you pledge a set of livv headphones rest assured that livv has engineered not only to stay your head comfortably but to sound insanely good
C4,dale lott and mark put the final touches the prototypedale lott and mark put the final touches the prototype
C10,livv headphone pluglivv headphone plug
C10,livv headphone removable ear padslivv headphone removable ear pads
C10,finalized software
C10,production tooling
C10,large component order
C10,global certifications
C10,innovative packaging design
C2,in early a recently retired nfl standout mark clayton began livv
C2,mark is a budding entrepreneur and creator who has successfully used his onthefield ability to create the cuttingedge technology that gave birth to livv headphones
C2,the name was inspired by the ability to live freefree from wires free from restrictions free from limits
C2,he added the extra v emphasis and a creative spin the word that is unique the design
C2,dale founder and ceo of aurisonics brings over twenty years of audio mastering forensic audio analysis and product design to livv
C2,his extensive knowledge of product design and manufacturing software video and audio production along with live sound production is vastly beneficial to the organization and quality of the product
C2,dale started aurisonics in to build highend custom inear hearing protection and monitoring systems musicians
C2,his passion audio fidelity design ingenuity and his ability to engineer flawless aesthetics has assisted in shaping what we know today livv headphones
C2,dani has a tenacity and passion that is contagious
C2,interpreting data and analytics to constantly evolve strategy and consistently deliver roi drives her
C2,her passion shows in her ability to turn data into a story
C2,she brings eight years of experience to livv
C2,she is our guru in online and offline strategy and execution including social media email promotions experiential public relations advocacy and ux
C2,hi kickstarter my name is mark clayton founder of live headphones
C2,in when i sat down to draw a headphone that will solve all of my problems i had no idea will forever change how we see headphones
C2,while i was in the nfl after breaking many headphones i thought to myself why has not anyone created over the ear headphone to really work out in one that was staying in place or that i can use without my phone or even allow me to do a pool workout and not even worried about them getting wet
C2,live was born
C2,our team is excited about getting these headphones into your hands
C2,we are passionate about creating and delivering premium products that allow you to live the active lifestyle
C2,after several iterations we are ready to go into mass production
C7,live is the premium active headphone however we cannot revolutionize industry alone we are are small group of passionate people and we your help in finalizing tooling software and to make a production run
C7,allow us to let you live free
C10,design
C5,partnership
C10,features
C10,design
C10,design
C10,design
C10,design
C10,features
C10,features
C10,features
C10,features
C10,features
C8,rewards
C8,rewards
C6,goals
C6,goals
C10,design
C2,story
C10,features
C10,features
C6,vision
C6,timeline
C2,team
C2,team
C2,team
C2,team
C2,team
C2,team
C2,team
C8,if you not seen the video is immediate relaunch of titanium nano pop the campaign was already funded with two weeks left to go but i recently found a way to cut my manufacturing costs nearly in half still entirely made in the usa
C2,i believe in sharing savings with my customers and reason i relaunched the campaign enjoy
C2,hello kickstarter i would like to introduce to you the nano pop
C10,nano pop is a multi tool i designed those who wish to a lot of useful tools but in a very minimal package
C10,nano pop incorporates a highly effective bottle opener straight slot screwdriver that doubles a small pry tool a philips screwdriver a scraper and flint striker all in a package that fits the pad of your finger every nano pop is alv titanium and comes with a stainless steel key ring free flame anodizing and free us shipping
C10,every nano pop is waterjet cut tumbled to remove the sharp edges and then sent back to me
C10,i then grind the screwdriver tips and flame anodize each one by hand a unique and personalized look
C10,finally i hand sand the top edge it is crisp creates the scraper and flint striker
C10,the edge however is not sharp and will not cut you
C5,i am very interested in your feedback please leave any questions comments ideas or concerns in the comments section
C7,let me know what you think
C8,you will be able to choose at the end of the campaign in the survey if you prefer your nano pops to be anodized or a flat finish
C10,they do not to be anodized if you do not wish them to be
C8,the mokuti timascus nano pops are available these are a special and very limited run of timascus nano pops that will be available only during kickstarter campaign
C7,nano pop will never be made in timascus again once campaign is over yours while you can
C10,each mokuti timascus nano pop is thick is double that of normal titanium nano pops
C10,the special way that timascus is made makes every single one of these nano pops entirely unique and amazingly beautiful
C8,your timascus nano pop is anodized free and includes a complimentary titanium keyring every timascus nano pop in every reward tier will be anodized free
C10,they look even awesome in person
C10,one possibility with timascusjust one possibility with timascus
C10,yours might look like thisyours might look like
C7,look at those colorslook at those colors
C8,mokuti timascus nano pops will never be made again once kickstarter ends yours nowmokuti timascus nano pops will never be made again once kickstarter ends yours
C7,we reached funded in less hours a thank you i am offering two new stretch goal rewards
C8,extra you can add a g id titanium jump ring to your pledge
C7,if you want one then add additional dollar each jump ring you would like these can be anodized at no additional cost or remain a flat finish
C8,there will be a question in the survey at the end of the campaign asking you prefer
C10,image courtesy of the internetimage courtesy of the internet
C7,additional you can add mm titanium key ring please pledge each titanium key ring you wish to add
C10,these can be anodized at no additional cost or remain a flat finish
C8,there will be a question in the survey at the end of the campaign asking you prefer
C10,image courtesy of the internet
C10,image courtesy of the internet
C8,backerclub tier the convenience of everyone involved i added a special tier backer club members
C8,you the same free anodizing free keyrings and free us shipping everyone else
C7,please pledge under tier only if you are a backerclub member and thank you very much to everyone all your support olaf
C10,what can your nano pop do
C10,open beer bottles the time every time
C10,open drink cans
C10,cut tape to open boxes
C10,reveal scratch off winnings
C10,tighten eye glasses screws
C10,emergency flint striker
C10,open key rings you do not to use your fingernails
C10,makes excellent mini wedge
C10,remove stubborn staples
C10,clean your nails in a pinch
C2,other uses i not thought of yet
C10,almost accurate account of how pretty the anodizing looks in real life
C8,your nano pop does not to be anodized there will be a question at the end of the campaign in the survey asking if you wish them to be anodized or flat finish
C10,almost accurate account of how pretty the anodizing looks in real life
C8,your nano pop does not to be anodized there will be a question at the end of the campaign in the survey asking if you wish them to be anodized or flat finish
C10,great reasons to back project
C2,the nano pop is made in the usa
C10,nano pop is super affordable
C10,i designed nano pop to be the very best micro bottle opener based multi tool ever
C10,do you carry keys do you know others who carry keys if you do then nano pop makes the perfect gift
C10,if you love titanium tools then you will love nano pop
C10,six features and hundreds of uses
C2,christmas is coming
C10,nano pop is small that it fits the pad of your finger
C10,it opens your bottles the time every time
C10,nano pop is airline safe
C1,you seen those colors
C10,nano pop works emergency flint striker
C10,flathead screwdriver scraper flint striker and philips screwdriver in action
C10,nano pop getting it donenano pop getting it done
C10,flat finishflat finish
C10,a better view of the philips screwdriver
C2,i made the titanium nano pop by tracing the outline of the shape i wanted and then milled it out by hand with a dremel and one attachment
C2,i then hand sanded the edges to give those nice straight lines
C2,here you can see the progression of development over the course of a week
C4,from top left to right and the final prototype at the bottom
C2,hi kickstarter i am olaf anderson
C8,i like to welcome you to the relaunch of titanium nano pop
C2,days ago we are funded
C8,with weeks left in the campaign but i found a way to cut my productions cost nearly a half
C2,i believe in passing savings onto my customers whenever possible
C8,reason i chosen to relaunched the campaign with new reward prices the reflect those savings
C6,goal
C10,design
C10,design
C10,design
C10,design
C10,design
C6,goals
C10,design
C10,design
C5,partnership
C10,design
C10,design
C10,features
C10,features
C10,design
C10,features
C10,features
C10,design
C2,story
C2,story
C10,design
C7,thank you much all of your support it has a blast
C8,our campaign has concluded but you can still preorder from our special limited firstrun that will ship christmas
C8,you can preorder our full production run at a discount until dec th at treelabscom before it goes to it is full retail price of
C2,if you do not read anything else page these are the things you should know about astro speaker that makes us who we are
C10,not something the same but slightly better uniquely us
C10,the rest is all the fun details
C2,we are the only bluetooth speaker that is focused pure audio
C10,all other speakers including bose and ue boom use a piece of software to change the music to better fit the format of the speaker
C10,means that the music that goes in is not the same what comes out
C2,we figured out a way using different hardware to control distortion without changing the sound
C10,pure audio what goes in comes out a full explanation see the astro allows the full range of music to be heard section
C5,what people are saying
C2,we put much thought into designing a great speaker to look at to listen to
C10,we designs to choose from from the sleek and basic black speaker to the work of art your home options designed by the famous tattoo temple art house one design only being sold during campaign and never again after
C10,details below in the tattoo temple partnership section
C10,designs to choose from
C8,we will deliver the orders by christmas
C8,we scoured kickstarter and very few projects are offering
C2,we preinvested in a limited batch run that influencers from our videos below tried out and they are ready to go soon we close
C8,if you want a combination that is not available in a current reward choose the reward add up all the items you want and send us a note letting us know what amount you pledged and what you want and we will confirm it
C2,we are not trying to be like anyone else we are trying to be the best speaker to hear music the way it was meant to be heard
C1,we know one of the questions that must make you ask is how does listening to pure audio compare to what i know today
C1,you will see and hear a lot of comparisons in social media to the brands below and we want to set the record straight
C2,we are not trying to be better at bass or a bigger sound though astro is good at both
C2,we are trying to help you appreciate the full range of the song
C7,your project funded today
C10,below is our own honest selfevaluation off how we compare to the leading portable speakers
C5,a nonbiased review of how we compare in sound
C1,and those technically curiousan explanation of what makes it different
C1,the bass the best reference the amount of bass astro has go check the ue boom in stores everywhere
C10,it is really the closest the market that we can refer to
C10,the bose mini soundlink and jbl charge the most bass the mass market around hz compared to our hz
C2,we did not want to design a speaker where bass would overpower everything else
C2,we wanted bass mid and highs to be balanced astro to offer alternative to what the market is offering
C5,boses portable speaker won pc mags editors choice award portable speakers was reviewed with the following statement
C10,they a long way to go before audiophiles and purists hop onboard
C10,midhigh is really where we shine
C10,we do not control the signal with dsp in order to manage distortion
C10,we used good quality hardware and design to handle the distortion
C10,dsp we do not use dsp
C10,bose is really using dsp the most and the most professional with it
C10,adjust the sound to fit the speaker to reduce distortion
C10,the drivers the bose are mm wide ours are mm wide
C10,bose uses complex dsp that basically adjust the frequencies or even removes some of them your song is playing in order to fit the speaker and reduce the distortion
C10,is especially true the mid and highs if you pay attention feels flat and very controlled the bose
C10,it has a quite impressive piece of software
C7,and that is astro please do email us astrokickstartergmailcom or throw a comment our page if you want to talk about any of the points above
C2,we believe in them we stand behind them and are passionate about them
C10,the rest below are the details you to spend your hard earned money our project
C2,but we promise you that if you do you will one of the best musiclistening experiences possible out of a speaker at size and price
C10,the rest
C7,watch a video about what pure audio is
C1,what is pure audio
C1,astro aims to give you that richness that you are missing
C10,even the best portable speakers do it
C5,boses portable speaker won pc mags editors choice award portable speakers was reviewed with the following statement
C10,they a long way to go before audiophiles and purists hop onboard
C2,we are dedicated to getting right what the industry leaders not
C10,astro only comes with onoff button because that is all you should
C10,you control the rest with your phone and enjoy the beauty of the sound and the system
C10,astro is compatible with any device that has bluetooth capabilities andor aux outputs
C10,connect astro to your ios or android mobile device ipad laptop desktop or any other bluetooth capable device
C10,easily stream pandora spotify iheartradio itunes and any other from your device to astro
C10,great video about who tattoo temple is and their inspiration project
C8,astro has paired up with tattoo temple one of the most exclusive tattoo studios in the world to create a line of designs specifically kickstarter
C10,tattoo temple only partners with products and clients that share their philosophy of lifelong learning continued development and pursuit of perfection
C10,each speaker will the work of a different artist the front and back displaying beautiful artwork along with astros beautiful sound
C5,tattoo temple has named top tattoo studio globally since in the new york times total tattoo magazine travel network travel house uk and matador network
C2,each tattoo that is designed by their artists is designed specifically every client and involves months of preparation
C8,although there might be a threeyear wait list to work with the artists at tattoo temple you can their artwork right here kickstarter with the astro tattoo temple designs
C8,note we added a reward a pair of both our standard speaker and the tattoo temple speakers
C7,please see the bottom of the reward list details
C8,if you love tattoo temple designs and want to show your support back at the level and receive your choice of high quality cotton bags x cm
C2,both were designed by joey pang tattoo temples founder and lead tattoo artist and a beautiful way to show your support the campaign
C8,plus free shipping
C1,meaning pursue your dreams
C1,meaning good fortune
C7,we are working hard to launch campaign and with the funds we will produce speakers that will be ready to deliver by christmas but we your help to go into full production and make portable pure audio a reality
C7,up close look at material and fit httpswwwyoutubecomwatchvjhbfraq
C4,mrkt reflects the thriving urban streets of the world where creativity radiates unconventional ideas are tested and individuality inspires
C2,mrkt was started in by harvardtrained architect tom pen he set out to challenge conventional fashion trends and today continues to create accessories inspired by clean and pure form
C10,structure function and geometry are the guides they push the boundaries of design in every product they create
C10,your astro protective case will be made from the best materials felt and microfiber
C10,the felt is resistant and durable and the microfiber makes it soft and a great substitute to its leather counterpart
C7,find out at mrktstorecom
C2,we working in the audio industry a very long time specifically in the product development and manufacturing segment
C2,we got started working in the wireless segment when bluetooth was starting to be interesting in the audio environment and worked products different brands and retailers
C2,we quickly realized that many manufacturer and brands were not audio guys but electronics products developers and that audio quality was a secondary requirement andor not something they were capable of developing
C2,we saw that because they did not the experience they were relying a lot software to a good sound
C2,astro is really the conclusion of all our years developing products others about years collectively and our own passion to sound and design
C2,if we were to give a clear line of where the astro is coming from it would be about years ago when we started working a solution that would be the best we could do
C2,we completed a full solution something that works and can be released then were not completely happy with it then did another round of development to improve the then another and learning about all that could be done and pushing things to their limits we went
C2,today astro is really a current culmination of what we learned and what we tried to achieve years ago and finally our own design sensibilities without the constraint and requirements of our customers
C2,and of course once astro is released we will keep pushing the envelope
C2,we are leveraging kickstarter that we can focus the design that pure audio enthusiasts care about instead of the design that comes from the costcutting demands of retailers
C7,to do and to help bring the best pure audio speaker to you we help funding the initial materials and manufacturing costs astro
C2,that is why we are coming to you
C9,bose is a registered trademark of bose corp of framingham massachusetts
C4,no claims verified by independent testing laboratory
C2,hi we are treelab the audio geeks behind astro
C10,the only true pure audio portable speaker
C2,we do not make the music fit the speaker we rather make the speaker fit the music
C6,i start company because i m a musician and i being in the audio business years
C2,when i listen a song from the artist i want to hear all the little details that the artist puts into his song and a piano player myself i don t want to hear the base
C2,we partnered up to start a pure audio movement alexis is the hardware genious and i worked to make it look great in your home
C5,we know there is already a community of pure audio lovers but we want to take it one step further into portable listening
C2,we used our experience in audio enginerring to develop hardware that will fit the music instead of using software to distort it
C6,our goal was to replicate the techniques that used thousand dollar systems and at the same time without a doubt the best value in portable speakers the market today
C7,do not believe us
C7,listen yourself
C10,you can see that even the best speaker in the market today has a long way to go to create a pure audio product
C10,they are really focused base and volume
C10,they changed the song to fit the speaker
C10,astro built a speaker to fit the song
C10,to the desired sound using software it has simple turning a button in seconds
C4,every adjustment made to astros sound it require new parts and retesting takes weeks
C2,the astro team invested in the state of the art sound lab
C2,in house manufacturing and design
C2,all stages of astro development process where contained in order to it right
C2,because we were able to control cost by removing extra buttons you rarely used we were able to design to perfection but deliver a great price
C10,whether you choose to use a phone tablet or pc simply use your device you normally would to control the sound turn bluetooth go to the next song or pause playing nothing is lost only moved
C10,all means is you are getting the greatest value in portable speakers available today
C2,we believe in product much
C7,we your help proving that people care about kind of listenting experience and want from their music portable speakers can provide today
C7,thank you kickstarter
C5,partnership
C5,partnership
C10,comparison
C10,features
C10,design
C10,features
C10,features
C9,explanation
C10,design
C10,design
C10,design
